
X-Axis: Magnitude
Y-Axis: 10 Year Probability
Number of Data Sets: 4


DATASET #1

     Name: UCERF3-TI
   Points: 31
     Info: 

Data[x,y]:
6.0	  0.007460968
6.1	  0.007460968
6.2	  0.007460968
6.3	  0.007460968
6.4	  0.007460968
6.5	  0.0063870098
6.6	  0.0063870098
6.7	  0.0011098806
6.8	  0.0010457177
6.9	  0.0010457177
7.0	  9.5789164E-4
7.1	  7.874823E-4
7.2	  7.0369354E-4
7.3	  4.121267E-4
7.4	  0.0
7.5	  0.0
7.6	  0.0
7.7	  0.0
7.8	  0.0
7.9	  0.0
8.0	  0.0
8.1	  0.0
8.2	  0.0
8.3	  0.0
8.4	  0.0
8.5	  0.0
8.6	  0.0
8.7	  0.0
8.8	  0.0
8.9	  0.0
9.0	  0.0



DATASET #2

     Name: UCERF3-TD
   Points: 31
     Info: 

Data[x,y]:
6.0	  0.0075212284
6.1	  0.0075212284
6.2	  0.0075212284
6.3	  0.0075212284
6.4	  0.0075212284
6.5	  0.00632817
6.6	  0.00632817
6.7	  4.6405525E-4
6.8	  4.4437937E-4
6.9	  4.4437937E-4
7.0	  4.297593E-4
7.1	  3.751436E-4
7.2	  3.3419544E-4
7.3	  2.1336053E-4
7.4	  0.0
7.5	  0.0
7.6	  0.0
7.7	  0.0
7.8	  0.0
7.9	  0.0
8.0	  0.0
8.1	  0.0
8.2	  0.0
8.3	  0.0
8.4	  0.0
8.5	  0.0
8.6	  0.0
8.7	  0.0
8.8	  0.0
8.9	  0.0
9.0	  0.0



DATASET #3

     Name: UCERF3-ETAS
   Points: 31
     Info: 

Data[x,y]:
6.0	  0.0075311535
6.1	  0.0075311535
6.2	  0.0075311535
6.3	  0.0075311535
6.4	  0.0075311535
6.5	  0.006338107
6.6	  0.006338107
6.7	  4.6405525E-4
6.8	  4.4437937E-4
6.9	  4.4437937E-4
7.0	  4.297593E-4
7.1	  3.751436E-4
7.2	  3.3419544E-4
7.3	  2.1336053E-4
7.4	  0.0
7.5	  0.0
7.6	  0.0
7.7	  0.0
7.8	  0.0
7.9	  0.0
8.0	  0.0
8.1	  0.0
8.2	  0.0
8.3	  0.0
8.4	  0.0
8.5	  0.0
8.6	  0.0
8.7	  0.0
8.8	  0.0
8.9	  0.0
9.0	  0.0



DATASET #4

     Name: ETAS Triggered Only
   Points: 31
     Info: 

Data[x,y]:
6.0	  1.0E-5
6.1	  1.0E-5
6.2	  1.0E-5
6.3	  1.0E-5
6.4	  1.0E-5
6.5	  1.0E-5
6.6	  1.0E-5
6.7	  0.0
6.8	  0.0
6.9	  0.0
7.0	  0.0
7.1	  0.0
7.2	  0.0
7.3	  0.0
7.4	  0.0
7.5	  0.0
7.6	  0.0
7.7	  0.0
7.8	  0.0
7.9	  0.0
8.0	  0.0
8.1	  0.0
8.2	  0.0
8.3	  0.0
8.4	  0.0
8.5	  0.0
8.6	  0.0
8.7	  0.0
8.8	  0.0
8.9	  0.0
9.0	  0.0


