Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only
6.0,3.2269712E-5,3.6773254E-5,3.1676295E-4,8.61395,2.8E-4,1.3829143E-4,1.5759347E-4,5.1753677E-4,3.2839985,3.6E-4,0.0016823979,0.0019175955,0.0027559847,1.4372085,8.4E-4
6.1,3.2269712E-5,3.6773254E-5,3.1676295E-4,8.61395,2.8E-4,1.3829143E-4,1.5759347E-4,5.1753677E-4,3.2839985,3.6E-4,0.0016823979,0.0019175955,0.0027559847,1.4372085,8.4E-4
6.2,3.2269712E-5,3.6773254E-5,3.1676295E-4,8.61395,2.8E-4,1.3829143E-4,1.5759347E-4,5.1753677E-4,3.2839985,3.6E-4,0.0016823979,0.0019175955,0.0027559847,1.4372085,8.4E-4
6.3,3.2269712E-5,3.6773254E-5,3.1676295E-4,8.61395,2.8E-4,1.3829143E-4,1.5759347E-4,5.1753677E-4,3.2839985,3.6E-4,0.0016823979,0.0019175955,0.0027559847,1.4372085,8.4E-4
6.4,1.4404779E-5,1.4855053E-5,1.3485327E-4,9.077939,1.2E-4,6.1733306E-5,6.366299E-5,2.2365281E-4,3.5130742,1.6E-4,7.513438E-4,7.7482633E-4,0.0010546094,1.3610913,2.8E-4
6.5,1.4404779E-5,1.4855053E-5,1.3485327E-4,9.077939,1.2E-4,6.1733306E-5,6.366299E-5,2.2365281E-4,3.5130742,1.6E-4,7.513438E-4,7.7482633E-4,0.0010546094,1.3610913,2.8E-4
6.6,1.280208E-5,1.3016704E-5,9.301566E-5,7.1458693,8.0E-5,5.4864904E-5,5.578469E-5,1.3578022E-4,2.4340053,8.0E-5,6.6777546E-4,6.7896873E-4,7.988872E-4,1.1766186,1.2E-4
6.7,1.2457027E-5,1.2633079E-5,9.2632064E-5,7.3325014,8.0E-5,5.3386164E-5,5.414065E-5,1.3413632E-4,2.4775527,8.0E-5,6.497827E-4,6.5896474E-4,7.788857E-4,1.1819838,1.2E-4
6.8,1.2095134E-5,1.2235392E-5,9.223441E-5,7.538329,8.0E-5,5.1835254E-5,5.2436353E-5,1.3243216E-4,2.5255792,8.0E-5,6.309115E-4,6.382272E-4,7.581506E-4,1.1879008,1.2E-4
6.9,1.1104036E-5,1.1161518E-5,9.1160626E-5,8.167404,8.0E-5,4.758786E-5,4.7834208E-5,1.2783038E-4,2.6723633,8.0E-5,5.7922816E-4,5.822271E-4,6.6218054E-4,1.1373234,8.0E-5
7.0,1.0577444E-5,1.0585669E-5,9.058482E-5,8.557307,8.0E-5,4.5331115E-5,4.5366367E-5,1.2536274E-4,2.763341,8.0E-5,5.5176654E-4,5.5219675E-4,6.321526E-4,1.1447959,8.0E-5
7.1,1.0021775E-5,9.9848085E-6,8.998401E-5,9.012092,8.0E-5,4.294976E-5,4.279134E-5,1.2278791E-4,2.8694572,8.0E-5,5.2278786E-4,5.2086124E-4,6.0081953E-4,1.1535118,8.0E-5
7.2,8.874109E-6,8.752264E-6,8.875156E-5,10.140412,8.0E-5,3.8031343E-5,3.750917E-5,1.1750617E-4,3.132732,8.0E-5,4.629332E-4,4.5657952E-4,5.36543E-4,1.175136,8.0E-5
7.3,7.5504267E-6,7.5080898E-6,4.750779E-5,6.327547,4.0E-5,3.235857E-5,3.2177137E-5,7.217585E-5,2.2430787,4.0E-5,3.9389438E-4,3.9168724E-4,4.3167156E-4,1.1020823,4.0E-5
7.4,6.309394E-6,6.185729E-6,6.185729E-6,1.0,0.0,2.703998E-5,2.6510004E-5,2.6510004E-5,1.0,0.0,3.2916202E-4,3.2271244E-4,3.2271244E-4,1.0,0.0
7.5,4.6103073E-6,4.442555E-6,4.442555E-6,1.0,0.0,1.975831E-5,1.9039388E-5,1.9039388E-5,1.0,0.0,2.4053088E-4,2.3178058E-4,2.3178058E-4,1.0,0.0
7.6,1.2858658E-6,1.3010639E-6,1.3010639E-6,1.0,0.0,5.5108417E-6,5.5759765E-6,5.5759765E-6,1.0,0.0,6.7092435E-5,6.788547E-5,6.788547E-5,1.0,0.0
7.7,5.3302307E-7,5.61315E-7,5.61315E-7,1.0,0.0,2.2843826E-6,2.4056337E-6,2.4056337E-6,1.0,0.0,2.7812002E-5,2.9288234E-5,2.9288234E-5,1.0,0.0
7.8,4.613933E-8,4.803677E-8,4.803677E-8,1.0,0.0,1.9773998E-7,2.0587186E-7,2.0587186E-7,1.0,0.0,2.4074816E-6,2.5064871E-6,2.5064871E-6,1.0,0.0
