
X-Axis: Magnitude
Y-Axis: 10 Year Probability
Number of Data Sets: 4


DATASET #1

     Name: UCERF3-TI
   Points: 31
     Info: 

Data[x,y]:
6.0	  0.0029674405
6.1	  0.0029674405
6.2	  0.0029674405
6.3	  0.0017201907
6.4	  0.0017201907
6.5	  0.001450662
6.6	  0.0012079047
6.7	  0.0010623431
6.8	  9.57371E-4
6.9	  8.5069967E-4
7.0	  6.289736E-4
7.1	  5.4896745E-4
7.2	  5.251676E-4
7.3	  4.8825322E-4
7.4	  4.596785E-4
7.5	  4.3259145E-4
7.6	  3.9407116E-4
7.7	  3.405918E-4
7.8	  1.8045233E-4
7.9	  1.3353102E-6
8.0	  0.0
8.1	  0.0
8.2	  0.0
8.3	  0.0
8.4	  0.0
8.5	  0.0
8.6	  0.0
8.7	  0.0
8.8	  0.0
8.9	  0.0
9.0	  0.0



DATASET #2

     Name: UCERF3-TD
   Points: 31
     Info: 

Data[x,y]:
6.0	  0.0030403486
6.1	  0.0030403486
6.2	  0.0030403486
6.3	  0.001764046
6.4	  0.001764046
6.5	  0.0014890651
6.6	  0.0012415823
6.7	  0.0010933448
6.8	  9.86502E-4
6.9	  8.7790104E-4
7.0	  6.524743E-4
7.1	  5.7127734E-4
7.2	  5.470853E-4
7.3	  5.095371E-4
7.4	  4.8032837E-4
7.5	  4.5252658E-4
7.6	  4.1288146E-4
7.7	  3.5750607E-4
7.8	  1.9034347E-4
7.9	  1.3929966E-6
8.0	  0.0
8.1	  0.0
8.2	  0.0
8.3	  0.0
8.4	  0.0
8.5	  0.0
8.6	  0.0
8.7	  0.0
8.8	  0.0
8.9	  0.0
9.0	  0.0



DATASET #3

     Name: UCERF3-ETAS
   Points: 31
     Info: 

Data[x,y]:
6.0	  0.0033494062
6.1	  0.0033494062
6.2	  0.0033494062
6.3	  0.0019736756
6.4	  0.0019736756
6.5	  0.001668797
6.6	  0.0013814085
6.7	  0.0012132135
6.8	  0.0011063836
6.9	  9.878045E-4
7.0	  7.4241555E-4
7.1	  6.512316E-4
7.2	  6.270415E-4
7.3	  5.8949634E-4
7.4	  5.6028995E-4
7.5	  5.0250394E-4
7.6	  4.4286906E-4
7.7	  3.8749535E-4
7.8	  2.1033967E-4
7.9	  1.3929966E-6
8.0	  0.0
8.1	  0.0
8.2	  0.0
8.3	  0.0
8.4	  0.0
8.5	  0.0
8.6	  0.0
8.7	  0.0
8.8	  0.0
8.9	  0.0
9.0	  0.0



DATASET #4

     Name: ETAS Triggered Only
   Points: 31
     Info: 

Data[x,y]:
6.0	  3.1E-4
6.1	  3.1E-4
6.2	  3.1E-4
6.3	  2.1E-4
6.4	  2.1E-4
6.5	  1.8E-4
6.6	  1.4E-4
6.7	  1.2E-4
6.8	  1.2E-4
6.9	  1.1E-4
7.0	  9.0E-5
7.1	  8.0E-5
7.2	  8.0E-5
7.3	  8.0E-5
7.4	  8.0E-5
7.5	  5.0E-5
7.6	  3.0E-5
7.7	  3.0E-5
7.8	  2.0E-5
7.9	  0.0
8.0	  0.0
8.1	  0.0
8.2	  0.0
8.3	  0.0
8.4	  0.0
8.5	  0.0
8.6	  0.0
8.7	  0.0
8.8	  0.0
8.9	  0.0
9.0	  0.0


