Section Name,"Strike, Dip, Rake",# Hypos In Poly,Max Mag w/ Hypo In Poly,# Surfs In Poly,Max Mag w/ Surf In Poly,Min Dist To Any (km),Min Poly Dist To Any (km),Min Dist To Largest (km),Min Poly Dist To Largest (km)
Airport Lake,"359, 50, -90",1021,7.1,1021,7.1,0.116,0.000,5.612,0.000
Little Lake,"327, 90, 180",330,5.5,330,5.5,1.937,0.000,13.471,1.469
Garlock (Central),"71, 90, 0",135,4.73,135,4.73,0.468,0.000,31.947,19.940
So Sierra Nevada,"2, 50, -90",62,4.62,62,4.62,1.255,0.000,16.191,15.188
Ash Hill,"162, 90, 180",24,3.57,24,3.57,0.088,0.000,36.003,25.242
Panamint Valley,"334, 90, -150",17,3.57,17,3.57,6.249,0.000,40.236,28.550
Tank Canyon,"189, 50, -90",1,3.0,1,3.0,1.252,0.000,23.737,23.674
Blackwater,"326, 90, 180",1,3.54,1,3.54,5.396,0.000,39.380,38.300
Sierra Nevada  (No Extension),"348, 50, -90",0,,0,,13.122,13.056,58.680,58.391
Scodie Lineament,"221, 68, 0",0,,0,,16.722,15.781,36.559,32.668
Towne Pass,"178, 50, -90",0,,0,,18.237,18.158,59.662,59.451
Owens Valley,"347, 90, 180",0,,0,,21.909,21.867,68.299,66.819
Gravel Hills-Harper Lk,"311, 90, 180",0,,0,,24.154,12.740,58.562,52.470
White Wolf (Extension),"46, 75, 60",0,,0,,30.051,29.420,45.679,43.721
McLean Lake,"96, 90, 0",0,,0,,32.089,31.949,64.927,61.453
Lake Isabella (Seismicity),"6, 90, 0",0,,0,,34.153,22.562,65.700,53.653
Goldstone Lake,"319, 90, 180",0,,0,,34.269,25.000,67.845,63.678
Paradise,"347, 90, 180",0,,0,,37.645,26.788,74.184,66.540
Nelson Lake,"91, 90, 0",0,,0,,38.056,37.680,72.715,68.544
Owl Lake,"58, 90, 0",0,,0,,38.968,32.111,67.691,59.287
Garlock (East),"92, 90, 0",0,,0,,38.982,38.344,67.792,65.602
Lenwood-Lockhart-Old Woman Springs,"303, 90, 180",0,,0,,41.188,30.428,63.646,53.437
Garlock (West),"52, 90, 0",0,,0,,45.713,43.484,66.727,62.627
