Magnitude,UCERF3-TI Prob,UCERF3-TD Prob,UCERF3-ETAS Prob
6.0,0.19701745,0.19723709,0.126
6.1,0.19701745,0.19723709,0.126
6.2,0.11500367,0.10570861,0.074
6.3,0.11500367,0.10570861,0.074
6.4,0.08438148,0.07233459,0.048
6.5,0.08438148,0.07233459,0.048
6.6,0.060258184,0.04630777,0.031
6.7,0.046614844,0.031621706,0.02
6.8,0.040405273,0.024978567,0.016
6.9,0.039732788,0.024277925,0.015
7.0,0.039259914,0.023784613,0.015
7.1,0.038116343,0.022629127,0.014
7.2,0.036510784,0.021036692,0.014
7.3,0.03632577,0.02088889,0.014
7.4,0.036125287,0.020718383,0.014
7.5,0.03541661,0.020246362,0.014
7.6,0.032548968,0.018317042,0.012
7.7,0.0202493,0.009498622,0.004
7.8,0.0010871352,3.6321284E-4,0.0
7.9,2.3464328E-5,9.88855E-6,0.0
