Magnitude,UCERF3-TI Prob,UCERF3-TD Prob,UCERF3-ETAS Prob
6.0,0.40540668,0.46867207,0.385
6.1,0.4030194,0.4658848,0.378
6.2,0.3970944,0.4591981,0.368
6.3,0.38368088,0.4433764,0.34
6.4,0.35459343,0.4104222,0.309
6.5,0.2669731,0.30617815,0.221
6.6,0.21076842,0.2396532,0.177
6.7,0.18331277,0.20814423,0.155
6.8,0.109773636,0.12143388,0.074
6.9,0.089884765,0.09835514,0.06
7.0,0.074140385,0.080636054,0.05
7.1,0.06265169,0.06795926,0.038
7.2,0.05372978,0.05823697,0.032
7.3,0.040874638,0.044265483,0.021
7.4,0.034643453,0.037525434,0.014
7.5,0.029297754,0.031727724,0.012
7.6,0.023225565,0.025146134,0.008
7.7,0.0056575993,0.006096007,0.003
7.8,2.5759288E-4,2.7571167E-4,0.0
