Magnitude,UCERF3-TI Prob,UCERF3-TD Prob,UCERF3-ETAS Prob
6.0,0.058818262,0.0583073,0.040130153
6.1,0.058818262,0.0583073,0.040130153
6.2,0.058818262,0.0583073,0.040130153
6.3,0.058818262,0.0583073,0.040130153
6.4,0.058818262,0.0583073,0.040130153
6.5,0.058818262,0.0583073,0.040130153
6.6,0.03868811,0.037675936,0.022776572
6.7,0.0363905,0.03534282,0.022776572
6.8,0.032265227,0.031155024,0.018438177
6.9,0.03157486,0.030454164,0.01735358
7.0,0.027041595,0.025857782,0.014099783
7.1,0.024382288,0.02317924,0.011930586
7.2,0.01963179,0.018420774,0.010845987
7.3,0.01689535,0.015770875,0.007592191
7.4,0.013442422,0.012466365,0.0054229936
7.5,0.0097180065,0.008692395,0.0032537961
7.6,0.006369828,0.005330386,0.0010845987
7.7,0.0026787603,0.001850087,0.0
7.8,6.055505E-5,6.0903378E-5,0.0
