Section Name,"Strike, Dip, Rake",# Hypos In Poly,Max Mag w/ Hypo In Poly,# Surfs In Poly,Max Mag w/ Surf In Poly,Min Dist To Any (km),Min Poly Dist To Any (km),Min Dist To Largest (km),Min Poly Dist To Largest (km),Min Hypo Dist To Largest (km),Min Hypo Poly Dist To Largest (km)
Airport Lake,"359, 50, -90",86,7.1,86,7.1,0.236,0.000,0.236,0.000,5.612,0.000
Little Lake,"327, 90, 180",16,3.85,17,7.1,2.321,0.000,8.423,0.000,13.471,1.469
Garlock (Central),"71, 90, 0",2,3.21,3,7.1,0.338,0.000,0.338,0.000,22.802,10.829
So Sierra Nevada,"2, 50, -90",1,2.75,2,7.1,0.126,0.000,0.126,0.000,16.191,15.188
Blackwater,"326, 90, 180",0,,1,7.1,9.172,0.000,9.172,0.000,29.661,27.718
Sierra Nevada  (No Extension),"344, 50, -90",0,,0,,5.922,0.609,5.922,0.609,58.680,58.391
Kern Canyon (North Kern) 2011,"1, 60, -90",0,,0,,9.868,9.081,9.868,9.081,81.168,80.888
Tank Canyon,"189, 50, -90",0,,0,,10.258,9.581,10.273,9.581,17.243,17.072
Owens Valley,"346, 90, 180",0,,0,,14.013,3.017,14.013,3.017,68.299,66.819
Scodie Lineament,"221, 68, 0",0,,0,,16.722,15.781,27.066,24.864,36.559,32.668
Kern Canyon (South Kern) 2011,"357, 60, -90",0,,0,,17.722,16.730,17.722,16.730,64.327,63.973
Independence rev 2011,"320, 50, -90",0,,0,,21.106,20.134,21.106,20.134,92.154,92.123
Goldstone Lake,"307, 90, 180",0,,0,,23.078,11.492,23.078,11.492,57.026,52.630
McLean Lake,"102, 90, 0",0,,0,,23.618,18.467,23.618,18.467,54.212,51.493
Paradise,"350, 90, 180",0,,0,,24.015,12.236,24.015,12.236,63.228,55.490
Nelson Lake,"98, 90, 0",0,,0,,25.416,23.894,25.416,23.894,61.857,58.209
Gravel Hills-Harper Lk,"311, 90, 180",0,,0,,25.696,12.468,25.696,12.468,50.134,42.809
White Wolf (Extension),"46, 75, 60",0,,0,,30.051,29.618,40.306,39.218,45.679,43.721
Panamint Valley,"334, 90, -150",0,,0,,30.158,18.540,30.158,18.540,34.539,22.615
Lake Isabella (Seismicity),"9, 90, 0",0,,0,,32.059,23.561,32.059,23.561,65.700,53.653
Ash Hill,"162, 90, 180",0,,0,,33.252,22.790,35.715,24.656,35.808,25.242
Lenwood-Lockhart-Old Woman Springs,"303, 90, 180",0,,0,,41.188,30.428,46.566,33.596,59.689,48.512
Kern Canyon (Lake Isabella) 2011,"18, 60, -90",0,,0,,43.209,41.308,50.436,49.574,66.376,66.044
Garlock (West),"52, 90, 0",0,,0,,48.316,47.487,63.218,60.342,66.426,62.627
Towne Pass,"195, 50, -90",0,,0,,53.623,52.693,53.623,52.693,59.662,59.451
Hunter Mountain-Saline Valley,"306, 90, -150",0,,0,,55.908,43.918,55.908,43.918,77.497,67.795
White Wolf,"41, 75, 60",0,,0,,75.716,74.922,86.371,85.237,89.285,88.663
