Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,100 yr Probability,100 yr Supra-Seis Prob
5.0,7.43677,6.04,9.11,7.38,7.25,1.0,1.0
5.1,5.8885,4.75,7.27,5.85,5.7,1.0,1.0
5.2,4.65826,3.72,5.77,4.62,4.56,1.0,1.0
5.3,3.67939,2.89,4.55,3.66,3.63,1.0,1.0
5.4,2.90341,2.25,3.64,2.89,2.73,1.0,1.0
5.5,2.28576,1.74,2.89,2.27,2.26,1.0,1.0
5.6,1.79281,1.36,2.28,1.78,1.74,1.0,1.0
5.7,1.40291,1.05,1.81,1.4,1.31,1.0,1.0
5.8,1.09235,0.8,1.42,1.08,0.99,1.0,1.0
5.9,0.83718,0.6,1.09,0.83,0.83,1.0,1.0
6.0,0.66447,0.47,0.88,0.66,0.66,1.0,1.0
6.1,0.50788,0.34,0.69,0.51,0.53,1.0,1.0
6.2,0.39875,0.26,0.56,0.39,0.37,1.0,1.0
6.3,0.31193,0.19,0.45,0.31,0.29,1.0,1.0
6.4,0.23929,0.14,0.36,0.24,0.24,1.0,1.0
6.5,0.18253,0.1,0.28,0.18,0.15,1.0,1.0
6.6,0.13875,0.07,0.22,0.14,0.13,1.0,1.0
6.7,0.10394,0.05,0.18,0.1,0.1,1.0,1.0
6.8,0.07843,0.03,0.14,0.08,0.08,1.0,0.999
6.9,0.05866,0.02,0.11,0.06,0.05,0.999,0.997
7.0,0.04374,0.01,0.09,0.04,0.04,0.991,0.982
7.1,0.03196,0.0,0.07,0.03,0.02,0.963,0.947
7.2,0.02261,0.0,0.06,0.02,0.02,0.907,0.885
7.3,0.0167,0.0,0.05,0.01,0.01,0.821,0.807
7.4,0.01124,0.0,0.04,0.01,0.01,0.678,0.669
7.5,0.00693,0.0,0.03,0.01,0.0,0.508,0.502
7.6,0.00434,0.0,0.02,0.0,0.0,0.366,0.363
7.7,0.00239,0.0,0.01,0.0,0.0,0.22,0.219
7.8,0.00122,0.0,0.01,0.0,0.0,0.119,0.119
7.9,6.7E-4,0.0,0.01,0.0,0.0,0.067,0.067
8.0,3.3E-4,0.0,0.01,0.0,0.0,0.033,0.033
8.1,8.0E-5,0.0,0.0,0.0,0.0,0.008,0.008
8.2,1.0E-5,0.0,0.0,0.0,0.0,0.001,0.001
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
