Section Name,"Strike, Dip, Rake",# Hypos In Poly,Max Mag w/ Hypo In Poly,# Surfs In Poly,Max Mag w/ Surf In Poly,Min Dist To Any (km),Min Poly Dist To Any (km),Min Dist To Largest (km),Min Poly Dist To Largest (km),Min Hypo Dist To Largest (km),Min Hypo Poly Dist To Largest (km)
Airport Lake,"359, 50, -90",1039,7.1,1039,7.1,0.116,0.000,0.139,0.000,5.612,0.000
Little Lake,"327, 90, 180",339,5.5,340,7.1,1.937,0.000,11.284,0.000,13.471,1.469
Garlock (Central),"71, 90, 0",142,4.73,143,7.1,0.225,0.000,5.600,0.000,22.766,10.797
So Sierra Nevada,"2, 50, -90",110,4.62,110,4.62,1.097,0.000,4.248,4.233,16.191,15.188
Ash Hill,"162, 90, 180",24,3.57,24,3.57,0.088,0.000,34.965,23.956,35.690,25.242
Panamint Valley,"334, 90, -150",17,3.57,17,3.57,6.249,0.000,29.583,17.627,34.350,22.425
Blackwater,"323, 90, 180",2,3.54,2,3.54,5.396,0.000,14.394,8.726,29.622,27.613
Tank Canyon,"189, 50, -90",1,3.0,1,3.0,1.252,0.000,8.578,8.573,17.039,16.895
Sierra Nevada  (No Extension),"344, 50, -90",0,,0,,5.696,1.331,39.627,39.626,58.680,58.391
Owens Valley,"346, 90, 180",0,,0,,13.143,7.068,49.013,48.524,68.299,66.819
Lenwood-Lockhart-Old Woman Springs,"301, 90, 180",0,,0,,18.221,16.222,53.532,41.707,59.786,48.595
Towne Pass,"195, 50, -90",0,,0,,18.237,18.158,52.717,52.715,59.662,59.451
Garlock (West),"56, 90, 0",0,,0,,18.439,18.373,65.671,63.472,66.575,62.627
Scodie Lineament,"221, 68, 0",0,,0,,20.820,19.945,28.750,27.691,36.559,32.668
Gravel Hills-Harper Lk,"312, 90, 180",0,,0,,23.045,11.043,36.147,26.349,50.134,42.769
Kern Canyon (North Kern) 2011,"1, 60, -90",0,,0,,25.249,22.240,62.153,62.142,81.168,80.888
Kern Canyon (South Kern) 2011,"357, 60, -90",0,,0,,25.746,22.804,53.829,53.817,64.327,63.973
Goldstone Lake,"325, 90, 180",0,,0,,28.405,17.134,40.122,34.141,56.861,52.490
McLean Lake,"91, 90, 0",0,,0,,28.565,24.208,37.870,37.581,54.042,51.306
Paradise,"347, 90, 180",0,,0,,29.748,17.987,45.501,36.828,63.073,55.355
Nelson Lake,"91, 90, 0",0,,0,,31.025,29.620,44.675,43.319,61.695,58.028
Independence rev 2011,"320, 50, -90",0,,0,,32.212,31.326,73.220,72.867,92.154,92.123
White Wolf (Extension),"46, 75, 60",0,,0,,32.952,29.420,42.251,42.101,45.679,43.721
Lake Isabella (Seismicity),"9, 90, 0",0,,0,,33.080,22.562,52.027,40.175,65.700,53.653
Helendale-So Lockhart,"324, 90, 180",0,,0,,36.688,32.065,55.680,45.597,66.879,58.781
Owl Lake,"58, 90, 0",0,,0,,38.968,32.111,44.772,40.549,57.675,50.152
Garlock (East),"92, 90, 0",0,,0,,38.982,34.913,44.557,44.411,57.701,56.627
Coyote Canyon,"91, 90, 0",0,,0,,39.908,39.266,57.780,52.777,75.557,69.236
Death Valley (Black Mtns Frontal),"167, 60, -150",0,,0,,40.923,39.458,63.674,63.665,68.782,68.724
Hunter Mountain-Saline Valley,"306, 90, -150",0,,0,,41.141,32.957,67.276,56.143,77.497,67.795
Kern Canyon (Lake Isabella) 2011,"17, 60, -90",0,,0,,45.858,44.528,56.618,56.615,66.376,66.044
Coyote Lake,"74, 90, 0",0,,0,,46.035,35.165,70.213,59.016,89.071,77.908
Calico-Hidalgo,"305, 90, 180",0,,0,,51.131,51.031,75.434,75.096,94.213,93.988
Garlic Springs,"130, 90, 180",0,,0,,51.893,48.252,70.939,69.928,88.845,88.468
Death Valley (So),"319, 90, 180",0,,0,,53.020,45.781,70.843,59.027,76.238,65.398
Bicycle Lake,"112, 90, 0",0,,0,,53.507,53.322,71.736,70.614,89.373,87.038
White Wolf,"42, 75, 60",0,,0,,55.588,52.068,88.322,88.252,89.285,88.663
Breckenridge 2011,"7, 60, -90",0,,0,,56.802,55.351,81.780,81.778,84.833,84.574
Death Valley (No),"313, 90, 180",0,,0,,63.196,51.636,103.742,91.827,107.220,95.600
Manix-Afton Hills,"73, 90, 0",0,,0,,67.164,57.257,91.095,80.690,109.989,99.575
Cady,"106, 90, 0",0,,0,,73.048,66.609,96.470,89.036,115.349,107.753
