Magnitude,UCERF3-TI Prob,UCERF3-TD Prob,UCERF3-ETAS Prob
6.0,0.4170434,0.47220448,0.384
6.1,0.4170434,0.47220448,0.384
6.2,0.4170434,0.47220448,0.384
6.3,0.4102521,0.46548113,0.371
6.4,0.4102521,0.46548113,0.371
6.5,0.40596646,0.46124074,0.369
6.6,0.389859,0.44395268,0.347
6.7,0.38480476,0.4387579,0.339
6.8,0.3719813,0.4240547,0.323
6.9,0.2901416,0.32652768,0.219
7.0,0.25934806,0.28976738,0.18
7.1,0.22390643,0.24703602,0.136
7.2,0.21407233,0.235847,0.126
7.3,0.20522363,0.22546941,0.117
7.4,0.20324339,0.22343253,0.117
7.5,0.20124386,0.22136338,0.116
7.6,0.19510087,0.21485044,0.112
7.7,0.17711227,0.19547205,0.1
7.8,0.008982842,0.00944719,0.005
7.9,6.676333E-5,6.9493806E-5,0.0
