Magnitude,UCERF3-TI Prob,UCERF3-TD Prob,UCERF3-ETAS Prob
6.0,0.24170336,0.19269621,0.15151516
6.1,0.24170336,0.19269621,0.15151516
6.2,0.24170336,0.19269621,0.15151516
6.3,0.24170336,0.19269621,0.15151516
6.4,0.24170336,0.19269621,0.15151516
6.5,0.24170336,0.19269621,0.15151516
6.6,0.24170336,0.19269621,0.15151516
6.7,0.24170336,0.19269621,0.15151516
6.8,0.24170336,0.19269621,0.15151516
6.9,0.24170336,0.19269621,0.15151516
7.0,0.18140881,0.13659802,0.10404041
7.1,0.17047672,0.12649113,0.092929296
7.2,0.15309018,0.10965353,0.08080808
7.3,0.11074426,0.07952117,0.05757576
7.4,0.07497687,0.055120174,0.04040404
7.5,0.060968045,0.045447987,0.031313132
7.6,0.04782249,0.03572238,0.023232324
7.7,0.017237391,0.011290347,0.009090909
7.8,0.0018388254,0.0013150945,0.0
7.9,1.935879E-4,1.2550564E-4,0.0
