Magnitude,UCERF3-TI Prob,UCERF3-TD Prob,UCERF3-ETAS Prob
6.0,0.6581619,0.70369965,0.6450116
6.1,0.42274937,0.45429423,0.39675173
6.2,0.42274937,0.45429423,0.39675173
6.3,0.32663688,0.35232592,0.3364269
6.4,0.2752973,0.2977487,0.28074247
6.5,0.21053536,0.228549,0.23433875
6.6,0.17870663,0.19434161,0.1948956
6.7,0.13372554,0.14583799,0.15081206
6.8,0.09285053,0.1006982,0.10208817
6.9,0.06207465,0.06604502,0.06264501
7.0,0.05884273,0.06250433,0.060324825
7.1,0.05639195,0.05984094,0.0487239
7.2,0.0541788,0.057467535,0.046403714
7.3,0.050329376,0.053357337,0.041763343
7.4,0.043260846,0.04584322,0.034802783
7.5,0.023174247,0.024441719,0.011600928
7.6,0.010067202,0.010496392,0.006960557
7.7,0.0016114889,0.0016510518,0.004640371
7.8,3.5753288E-5,3.639521E-5,0.0
