Magnitude,UCERF3-TI Prob,UCERF3-TD Prob,UCERF3-ETAS Prob
6.0,0.42455328,0.47966442,0.359
6.1,0.42455328,0.47966442,0.359
6.2,0.42455328,0.47966442,0.359
6.3,0.42455328,0.47966442,0.359
6.4,0.24924628,0.27367356,0.201
6.5,0.24924628,0.27367356,0.201
6.6,0.23997498,0.26381874,0.19
6.7,0.18389802,0.20211281,0.138
6.8,0.17954007,0.19743778,0.136
6.9,0.15827082,0.17417736,0.123
7.0,0.13073109,0.14418615,0.101
7.1,0.11004273,0.12163964,0.077
7.2,0.07125486,0.07915697,0.049
7.3,0.01811912,0.020065857,0.016
7.4,8.116137E-4,8.3499384E-4,0.0
