Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 d Probability,1 d Supra-Seis Prob,Primary Aftershocks Mean
5.0,0.014,0.0,0.0,0.0,0.0,0.008,0.001,0.007
5.1,0.01,0.0,0.0,0.0,0.0,0.005,0.001,0.004
5.2,0.008,0.0,0.0,0.0,0.0,0.004,0.001,0.003
5.3,0.005,0.0,0.0,0.0,0.0,0.002,0.001,0.002
5.4,0.004,0.0,0.0,0.0,0.0,0.001,0.001,0.001
5.5,0.003,0.0,0.0,0.0,0.0,0.001,0.001,0.001
5.6,0.003,0.0,0.0,0.0,0.0,0.001,0.001,0.001
5.7,0.003,0.0,0.0,0.0,0.0,0.001,0.001,0.001
5.8,0.003,0.0,0.0,0.0,0.0,0.001,0.001,0.001
5.9,0.003,0.0,0.0,0.0,0.0,0.001,0.001,0.001
6.0,0.002,0.0,0.0,0.0,0.0,0.001,0.001,0.001
6.1,0.002,0.0,0.0,0.0,0.0,0.001,0.001,0.001
6.2,0.002,0.0,0.0,0.0,0.0,0.001,0.001,0.001
6.3,0.002,0.0,0.0,0.0,0.0,0.001,0.001,0.001
6.4,0.001,0.0,0.0,0.0,0.0,0.001,0.001,0.0
6.5,0.001,0.0,0.0,0.0,0.0,0.001,0.001,0.0
6.6,0.001,0.0,0.0,0.0,0.0,0.001,0.001,0.0
6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
