Magnitude,UCERF3-TI Prob,UCERF3-TD Prob,UCERF3-ETAS Prob
6.0,0.8545782,0.73715454,0.792
6.1,0.85184324,0.7331745,0.784
6.2,0.8446874,0.72446513,0.778
6.3,0.8358378,0.7139002,0.774
6.4,0.8247785,0.70109576,0.749
6.5,0.8200433,0.6946552,0.746
6.6,0.80620676,0.6776094,0.729
6.7,0.7971889,0.66648656,0.717
6.8,0.7867683,0.6538207,0.7
6.9,0.75577176,0.6173955,0.64
7.0,0.7160957,0.577591,0.586
7.1,0.6505084,0.5031911,0.507
7.2,0.55417913,0.41234636,0.414
7.3,0.45995978,0.32457158,0.335
7.4,0.37883797,0.25771692,0.267
7.5,0.27661043,0.18018815,0.187
7.6,0.110242,0.0663912,0.063
7.7,0.0056140963,0.0039944216,0.003
7.8,0.0025957257,0.0012649649,0.001
7.9,0.0014793479,6.640668E-4,0.001
8.0,7.462487E-4,3.2898123E-4,0.001
8.1,9.142622E-5,3.9811275E-5,0.0
